artwork_type_title,style_title,id,image_id,title,search_term,file_name
Painting,Impressionism,106557,e88c48eb-a293-3401-03b8-b885e9e21bd3,June Morning: Lake Orta,Impressionism,e88c48eb-a293-3401-03b8-b885e9e21bd3.jpg
Painting,Impressionism,11393,4429b763-efb3-9b73-47be-8ac952881133,Henry Ossawa Tanner,Impressionism,4429b763-efb3-9b73-47be-8ac952881133.jpg
Painting,Impressionism,107862,16facedd-c8c3-fbfc-a854-23c2d710a889,"Bailey's Beach, Newport, R.I.",Impressionism,16facedd-c8c3-fbfc-a854-23c2d710a889.jpg
Painting,Impressionism,60294,8ed7e389-dbe7-ed35-ade2-fe7743943479,New York Street,Impressionism,8ed7e389-dbe7-ed35-ade2-fe7743943479.jpg
Painting,Impressionism,75957,ad02b33a-4aac-03cc-88e4-7db2cc03b854,Mount Washington,Impressionism,ad02b33a-4aac-03cc-88e4-7db2cc03b854.jpg
Painting,Impressionism,16659,13c116df-e5a6-9e6c-0896-507529224415,Old Tower at Avignon,Impressionism,13c116df-e5a6-9e6c-0896-507529224415.jpg
Painting,Modernism,8958,43165650-0212-8897-0605-dc3fdda88c13,Arrangement in Flesh Color and Brown: Portrait of Arthur Jerome Eddy,Impressionism,43165650-0212-8897-0605-dc3fdda88c13.jpg
Painting,Impressionism,60053,419dfc20-ac89-5777-60c8-af1fd05cf828,Self-Portrait,Impressionism,419dfc20-ac89-5777-60c8-af1fd05cf828.jpg
Painting,Impressionism,64476,d1cda60c-c21d-9fbc-8195-4e7c3d6e9650,The Winter Sun,Impressionism,d1cda60c-c21d-9fbc-8195-4e7c3d6e9650.jpg
Painting,Impressionism,68517,121ff54b-91fb-99d3-ba2f-52a28f5e4a8f,Shop Girls,Impressionism,121ff54b-91fb-99d3-ba2f-52a28f5e4a8f.jpg
Painting,Impressionism,16649,07fca744-4d4b-0fbb-ee9c-02e36b7ec928,At the Hippodrome,Impressionism,07fca744-4d4b-0fbb-ee9c-02e36b7ec928.jpg
Painting,Impressionism,69780,3f9aa9db-61e1-7060-fdb0-bfd7e41ddd08,"The Fountain, Villa Torlonia, Frascati, Italy",Impressionism,3f9aa9db-61e1-7060-fdb0-bfd7e41ddd08.jpg
